dun_code,dun_name,candidate,facebook_url,tiktok_url,instagram_url,threads_url,keyword_query,model_scenario,model_pn_pct,priority
N02,Jementah,Saifullah bin Abdul Wahab,https://www.facebook.com/share/1Kqpb1u3e7/?mibextid=wwXIfr,https://www.tiktok.com/@saif_abduh,,,"(""Saifullah Abdul Wahab"" OR ""Jementah"" OR ""N02"") (""PRN Johor"" OR PAS OR PN)",PH,18.8,LOW
N05,Tenang,Normala binti Sudirman,https://www.facebook.com/NormalaSudirmanCgMala,https://www.tiktok.com/@normalasudirman,,,"(""Normala Sudirman"" OR ""Tenang"" OR ""N05"") (""PRN Johor"" OR PAS OR PN)",PN,55.5,HIGH
N13,Simpang Jeram,Arshed bin Yahya,https://www.facebook.com/AwangAnakJeram,https://www.tiktok.com/@awanganakjeram,,,"(""Arshed Yahya"" OR ""Simpang Jeram"" OR ""N13"") (""PRN Johor"" OR PAS OR PN)",PH,16.6,LOW
N15,Maharani,Mohamad Anuar bin Hayan,https://www.facebook.com/share/1aFuTiiYs6/?mibextid=wwXIfr,https://www.tiktok.com/@anuarhayan,,,"(""Anuar Hayan"" OR ""Maharani"" OR ""N15"") (""PRN Johor"" OR PAS OR PN)",PN,80.8,CRITICAL
N16,Sungai Balang,Muhammad Amin bin Saillan @ Sazali,https://www.facebook.com/share/1D81ybDQiH/,https://www.tiktok.com/@ustazamin_n16,,,"(""Muhammad Amin"" OR ""Sungai Balang"" OR ""N16"") (""PRN Johor"" OR PAS OR PN)",PN,54.5,HIGH
N17,Semerah,Halim @ Othman bin Kepol,https://www.facebook.com/share/1BP7MyJuPw/,https://www.tiktok.com/@halimkepol,,,"(""Halim Kepol"" OR ""Semerah"" OR ""N17"") (""PRN Johor"" OR PAS OR PN)",PN,54.0,HIGH
N18,Sri Medan,Ahmad Rosdi bin Bahari,https://www.facebook.com/share/18qaCVtwpf/,https://www.tiktok.com/@ustaz.rosdi1,,,"(""Ahmad Rosdi"" OR ""Sri Medan"" OR ""N18"") (""PRN Johor"" OR PAS OR PN)",PN,53.5,HIGH
N31,Kahang,Hj Mazlan b Bujang,https://www.facebook.com/share/1ERMaftDCC/,https://www.tiktok.com/@mazlan.bujang2,,,"(""Mazlan Bujang"" OR ""Kahang"" OR ""N31"") (""PRN Johor"" OR PAS OR PN)",BN,11.1,LOW
N32,Endau,Hasnul Hakimi bin Hussien,https://www.facebook.com/share/1EiMRrRQcC/,https://www.tiktok.com/@hakimyhussien,,,"(""Hasnul Hakimi"" OR ""Endau"" OR ""N32"") (""PRN Johor"" OR PAS OR PN)",PN,65.5,CRITICAL
N35,Pasir Raja,Yuhanita binti Yunan,https://www.facebook.com/share/17niQNiiBd/?mibextid=wwXIfr,https://www.tiktok.com/@yuhanita.yunan,https://www.instagram.com/yuhanita_yunan,https://www.threads.com/@yuhanita_yunan,"(""Yuhanita Yunan"" OR ""Pasir Raja"" OR ""N35"") (""PRN Johor"" OR PAS OR PN)",PN,54.0,HIGH
N40,Tiram,Khirul-Muntanazar bin Ismail,https://www.facebook.com/share/1FU6Vv7Hoj/,https://www.tiktok.com/@khirul.muntanazar,,,"(""Khirul Muntanazar"" OR ""Tiram"" OR ""N40"") (""PRN Johor"" OR PAS OR PN)",PN,52.5,HIGH
