Platform,Type,ID,Text,URL,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,SeedCode,SeedLabel,SeedQuery
news,post,ea044faf6899d142,Negeri Sembilan DAP to bank on incumbents for state polls. Negeri Sembilan DAP to bank on incumbents for state polls&nbsp;&nbsp;Free Malaysia Today,https://news.google.com/rss/articles/CBMiugFBVV95cUxNV3ZrMnhDTWpBYjdPNk1DcGtiTFRfaHkwNlZVUl9ycjM4LTNScmktcEZoS01XMzN0dE9mZklKV3B2QVFZbmJqdk5pTFJPdzNUWXRKeEtxMW1jYkRJbWV2Q2RBUjVpVEZsSDBKRVd1Rkd0RVdkdjBnUnpPMjlSTmRwam9OWV9PUGQtZFlLelV6b3Vlb3RHR2ZOSVV2OTFvMUlvNmhHbThzZlF5Nk1GdWZYcGRqY0JGcTZWRUE?oc=5,,2026-06-10T07:00:00+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,"""Anthony Loke Siew Fook"" ""Chennah"" ""Negeri Sembilan"" when:30d"
news,post,1d84f47bb75c5041,DAP to retain more than half of incumbents as candidates in Negeri Sembilan polls. DAP to retain more than half of incumbents as candidates in Negeri Sembilan polls&nbsp;&nbsp;The Edge Malaysia,https://news.google.com/rss/articles/CBMiUEFVX3lxTE50bXVLM3ZRb0t0OTNZX0FCRW1rTVRSM2ZPSVBDaml0cWRQOFplR3FwRGJYcHU3LW5XZHMwakQ4SGFuZFRleXpPTU04b0xRTF9w?oc=5,,2026-06-10T07:00:00+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,"""Anthony Loke Siew Fook"" ""Chennah"" ""Negeri Sembilan"" when:30d"
news,post,5576a81dad890cea,"DAP sedia lawan PAS di kerusi tradisi, ingat semua parti elak isu 3R. Setiausaha DAP Negeri Sembilan Cha Kee Chin berkata parti itu menyerahkan kepada pengundi untuk menilai calon yang bertanding.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/06/22/dap-sedia-lawan-pas-di-kerusi-tradisi-ingat-semua-parti-elak-isu-3r,,2026-06-22T12:00:19+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,"""Anthony Loke Siew Fook"" ""Chennah"" ""Negeri Sembilan"" when:30d"
news,post,9108bab1ffff94f5,"PRN Melaka menyusul selepas Johor, Negeri Sembilan - Ab Rauf. Ayer Keroh: Pembubaran Dewan Undangan Negeri (DUN) Melaka berkemungkinan besar berlaku dalam tempoh tiga bulan lagi, kata Ketua Menteri, Datuk Seri Ab Rauf Yusoh.",https://www.hmetro.com.my/mutakhir/2026/06/1373576/prn-melaka-menyusul-selepas-johor-negeri-sembilan-ab-rauf,,2026-06-22T16:13:29+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,"""Anthony Loke Siew Fook"" ""Chennah"" ""Negeri Sembilan"" when:30d"
news,post,f75e945821559b53,"New Alzheimer's & Dementia Paper Highlights SpeechDx's Role in Advancing AI-Driven Tools for Earlier Alzheimer's Detection and Risk Assessment. SpeechDx will accelerate the development of scalable digital markers that can guide earlier intervention and more personalized care NEW YORK, June 22, 2026 /PRNewswire/ &#8212; A new paper published today in Alzheimer&#039;s &#38; Dementia: The Journal of the Alzheimer&#039;s Association highlights how AI and digital speech-based markers are converging to define the next frontier in Alzheimer&#039;s [&#8230;]
The post New Alzheimer&#039;s &amp; Dementia Paper Highlights SpeechDx&#039;s Role in Advancing AI-Driven Tools for Earlier Alzheimer&#039;s Detection and Risk Assessment appeared first on The Malaysian Reserve.",https://themalaysianreserve.com/2026/06/22/new-alzheimers-dementia-paper-highlights-speechdxs-role-in-advancing-ai-driven-tools-for-earlier-alzheimers-detection-and-risk-assessment/,,2026-06-22T14:16:00+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,"""Chennah"" DUN PRN ""Negeri Sembilan"" when:30d"
news,post,b80facb62aae5500,"Verato Recognized as One to Watch in Snowflake's Modern Marketing Data Stack Report. Verato fuels success in Integration and Data Modeling through collaboration with Snowflake AI Data Cloud CANNES, France, June 22, 2026 /PRNewswire/ &#8212; Verato, the identity intelligence company, today announced at Cannes Lions 2026 that it has been recognized by Snowflake, the AI Data Cloud company, as an Integration and Data Modeling One to Watch in [&#8230;]
The post Verato Recognized as One to Watch in Snowflake&#039;s Modern Marketing Data Stack Report appeared first on The Malaysian Reserve.",https://themalaysianreserve.com/2026/06/22/verato-recognized-as-one-to-watch-in-snowflakes-modern-marketing-data-stack-report/,,2026-06-22T14:15:00+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,"""Chennah"" DUN PRN ""Negeri Sembilan"" when:30d"
news,post,53a380dea2d64433,"LATEST JOURNAL IMPACT FACTORS AFFIRM JMIR PUBLICATIONS' FIELD LEADERSHIP. TORONTO, June 22, 2026 /PRNewswire/ &#8212; Clarivate has released Journal Citation Reports 2026, including 2025 Journal Impact Factor results for 24 JMIR Publications journals. Of these, 12 ranked in the first quartile of their primary subject categories, 3 received a Journal Impact Factor for the first time, and 5 improved their quartile ranking over the [&#8230;]
The post LATEST JOURNAL IMPACT FACTORS AFFIRM JMIR PUBLICATIONS&#039; FIELD LEADERSHIP appeared first on The Malaysian Reserve.",https://themalaysianreserve.com/2026/06/22/latest-journal-impact-factors-affirm-jmir-publications-field-leadership/,,2026-06-22T13:55:00+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,"""Chennah"" DUN PRN ""Negeri Sembilan"" when:30d"
news,post,d4fe85d319ebb2e2,"Skanska enters into an agreement for early contractor involvement with Penn Transformation Partners, NY, USA. STOCKHOLM, June 22, 2026 /PRNewswire/ &#8212; Skanska and Halmar, a 50/50 consortium operating as Penn Transformation Partners DevCo, LLC (PTP), has formally been appointed by Amtrak as the Master Developer of the Penn Station Transformation Project in New York, USA, and entered into a Pre-Development Agreement (PDA) with Amtrak in partnership with the U.S. Department [&#8230;]
The post Skanska enters into an agreement for early contractor involvement with Penn Transformation Partners, NY, USA appeared first on The Malaysian Reserve.",https://themalaysianreserve.com/2026/06/22/skanska-enters-into-an-agreement-for-early-contractor-involvement-with-penn-transformation-partners-ny-usa/,,2026-06-22T13:54:00+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,"""Chennah"" DUN PRN ""Negeri Sembilan"" when:30d"
news,post,05a0727bcaebfc21,"American Water Brings Industry Expertise and Forward-Looking Solutions to ACE26. CAMDEN, N.J., June 22, 2026 /PRNewswire/ &#8212; American Water (NYSE: AWK), the largest regulated water and wastewater utility company in the U.S., will help lead critical conversations at the American Water Works Association (AWWA) 2026 Annual Conference &#38; Exposition (ACE26), taking place June 21 through June 24, 2026 in Washington, D.C. &#034;American Water&#039;s leadership at [&#8230;]
The post American Water Brings Industry Expertise and Forward-Looking Solutions to ACE26 appeared first on The Malaysian Reserve.",https://themalaysianreserve.com/2026/06/22/american-water-brings-industry-expertise-and-forward-looking-solutions-to-ace26/,,2026-06-22T13:35:00+00:00,0,0,0,0,0.0,0,N01,Anthony Loke Siew Fook,@anthonyloke PRN when:30d
news,post,17fa114e730f4627,"VDEAR Supports the Growth of Global Watch Micro-brands Through End-to-End OEM/ODM Manufacturing. SHENZHEN, China, June 22, 2026 /PRNewswire/ &#8212; While the global watch market continues to segment, an increasing number of independent watch brands, e-commerce brands, and private label companies are entering the market, driving the growth in demand for customized watches. In this trend, the importance of professional manufacturing partners is becoming prominent. As an OEM/ODM [&#8230;]
The post VDEAR Supports the Growth of Global Watch Micro-brands Through End-to-End OEM/ODM Manufacturing appeared first on The Malaysian Reserve.",https://themalaysianreserve.com/2026/06/22/vdear-supports-the-growth-of-global-watch-micro-brands-through-end-to-end-oem-odm-manufacturing/,,2026-06-22T12:57:00+00:00,0,0,0,0,0.0,0,N02,Jalaluddin Alias,"""Pertang"" DUN PRN ""Negeri Sembilan"" when:30d"
