state,code,name,district,proxyLocation,lat,lon,confidence,note,mapsUrl
Johor,N.01,Buloh Kasap,Segamat,Pekan Buloh Kasap,2.5536,102.764,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Buloh+Kasap%2C+Johor%2C+Malaysia
Johor,N.02,Jementah,Segamat,Pekan Jementah,2.440059,102.685155,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Jementah%2C+Johor%2C+Malaysia
Johor,N.03,Pemanis,Segamat,FELDA Pemanis,2.622239,102.87328,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=FELDA+Pemanis%2C+Johor%2C+Malaysia
Johor,N.04,Kemelah,Segamat,FELDA Kemelah,2.522995,102.954186,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=FELDA+Kemelah%2C+Johor%2C+Malaysia
Johor,N.05,Tenang,Segamat,Kampung Tenang,2.475212,103.066622,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Kampung+Tenang%2C+Johor%2C+Malaysia
Johor,N.06,Bekok,Segamat,Pekan Bekok,2.296528,103.130592,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Bekok%2C+Johor%2C+Malaysia
Johor,N.07,Bukit Kepong,Muar,Pekan Bukit Kepong,2.3453,102.8305,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Bukit+Kepong%2C+Johor%2C+Malaysia
Johor,N.08,Bukit Pasir,Muar,Pekan Bukit Pasir,2.098447,102.637618,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Bukit+Pasir%2C+Johor%2C+Malaysia
Johor,N.09,Gambir,Tangkak,Pekan Bukit Gambir,2.2055,102.7245,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pekan+Bukit+Gambir%2C+Johor%2C+Malaysia
Johor,N.10,Tangkak,Tangkak,Bandar Tangkak,2.267,102.545,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Bandar+Tangkak%2C+Johor%2C+Malaysia
Johor,N.11,Serom,Tangkak,Pekan Serom,2.151,102.59,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pekan+Serom%2C+Johor%2C+Malaysia
Johor,N.12,Bentayan,Muar,Pusat Bandar Muar / Bentayan,2.0465,102.5685,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pusat+Bandar+Muar+%2F+Bentayan%2C+Johor%2C+Malaysia
Johor,N.13,Simpang Jeram,Muar,Simpang Jeram,2.113,102.612,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Simpang+Jeram%2C+Johor%2C+Malaysia
Johor,N.14,Bukit Naning,Muar,Bukit Naning,2.204,102.659,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Bukit+Naning%2C+Johor%2C+Malaysia
Johor,N.15,Maharani,Muar,"Bandar Maharani, Muar",2.044,102.568,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Bandar+Maharani%2C+Muar%2C+Johor%2C+Malaysia
Johor,N.16,Sungai Balang,Muar,Pekan Sungai Balang,1.988,102.668,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pekan+Sungai+Balang%2C+Johor%2C+Malaysia
Johor,N.17,Semerah,Batu Pahat,Pekan Semerah,1.917,102.95,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pekan+Semerah%2C+Johor%2C+Malaysia
Johor,N.18,Sri Medan,Batu Pahat,Pekan Sri Medan,1.973,103.025,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pekan+Sri+Medan%2C+Johor%2C+Malaysia
Johor,N.19,Yong Peng,Batu Pahat,Bandar Yong Peng,2.012,103.065,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Bandar+Yong+Peng%2C+Johor%2C+Malaysia
Johor,N.20,Semarang,Batu Pahat,Pekan Semarang,1.963,103.078,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pekan+Semarang%2C+Johor%2C+Malaysia
Johor,N.21,Parit Yaani,Batu Pahat,Pekan Parit Yaani,1.901,103.114,Sederhana,Titik proksi operasi; semak dalam GeoJohor/Google Maps dan laraskan kepada pusat operasi sebenar.,https://www.google.com/maps/search/?api=1&query=Pekan+Parit+Yaani%2C+Johor%2C+Malaysia
Johor,N.22,Parit Raja,Batu Pahat,Pekan Parit Raja,1.869,103.113,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Parit+Raja%2C+Johor%2C+Malaysia
Johor,N.23,Penggaram,Batu Pahat,Bandar Penggaram / Batu Pahat,1.8548,102.9325,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Bandar+Penggaram+%2F+Batu+Pahat%2C+Johor%2C+Malaysia
Johor,N.24,Senggarang,Batu Pahat,Pekan Senggarang,1.813,102.897,Tinggi,Titik pusat lokaliti yang jelas; masih perlu semakan sempadan DUN sebelum routing lapangan.,https://www.google.com/maps/search/?api=1&query=Pekan+Senggarang%2C+Johor%2C+Malaysia
