state,date,sex,age,ethnicity,population,age_band
Johor,2020-01-01,both,overall,overall,4009.7,
Johor,2020-01-01,both,overall,bumi_malay,2158.4,
Johor,2020-01-01,both,overall,bumi_other,60.8,
Johor,2020-01-01,both,overall,chinese,1208.7,
Johor,2020-01-01,both,overall,indian,244.3,
Johor,2020-01-01,both,overall,other_citizen,18.4,
Johor,2020-01-01,both,overall,other_noncitizen,319.2,
Johor,2020-01-01,both,0-4,overall,306.3,Young (0-14)
Johor,2020-01-01,both,0-4,bumi_malay,195.9,Young (0-14)
Johor,2020-01-01,both,0-4,bumi_other,6.1,Young (0-14)
Johor,2020-01-01,both,0-4,chinese,82.7,Young (0-14)
Johor,2020-01-01,both,0-4,indian,18.2,Young (0-14)
Johor,2020-01-01,both,0-4,other_citizen,1.2,Young (0-14)
Johor,2020-01-01,both,0-4,other_noncitizen,2.1,Young (0-14)
Johor,2020-01-01,both,5-9,overall,322.3,Young (0-14)
Johor,2020-01-01,both,5-9,bumi_malay,197.4,Young (0-14)
Johor,2020-01-01,both,5-9,bumi_other,5.8,Young (0-14)
Johor,2020-01-01,both,5-9,chinese,95.5,Young (0-14)
Johor,2020-01-01,both,5-9,indian,20.7,Young (0-14)
Johor,2020-01-01,both,5-9,other_citizen,1.1,Young (0-14)
Johor,2020-01-01,both,5-9,other_noncitizen,1.9,Young (0-14)
Johor,2020-01-01,both,10-14,overall,330.7,Young (0-14)
Johor,2020-01-01,both,10-14,bumi_malay,197.6,Young (0-14)
Johor,2020-01-01,both,10-14,bumi_other,5.7,Young (0-14)
Johor,2020-01-01,both,10-14,chinese,102.7,Young (0-14)
Johor,2020-01-01,both,10-14,indian,22.2,Young (0-14)
Johor,2020-01-01,both,10-14,other_citizen,1.1,Young (0-14)
Johor,2020-01-01,both,10-14,other_noncitizen,1.3,Young (0-14)
Johor,2020-01-01,both,15-19,overall,345.2,Working age (15-64)
Johor,2020-01-01,both,15-19,bumi_malay,199.2,Working age (15-64)
Johor,2020-01-01,both,15-19,bumi_other,6.5,Working age (15-64)
Johor,2020-01-01,both,15-19,chinese,98.5,Working age (15-64)
Johor,2020-01-01,both,15-19,indian,21.3,Working age (15-64)
Johor,2020-01-01,both,15-19,other_citizen,4.3,Working age (15-64)
Johor,2020-01-01,both,15-19,other_noncitizen,15.4,Working age (15-64)
Johor,2020-01-01,both,20-24,overall,388.9,Working age (15-64)
Johor,2020-01-01,both,20-24,bumi_malay,193.8,Working age (15-64)
Johor,2020-01-01,both,20-24,bumi_other,4.3,Working age (15-64)
Johor,2020-01-01,both,20-24,chinese,103.1,Working age (15-64)
Johor,2020-01-01,both,20-24,indian,20.7,Working age (15-64)
Johor,2020-01-01,both,20-24,other_citizen,2.5,Working age (15-64)
Johor,2020-01-01,both,20-24,other_noncitizen,64.5,Working age (15-64)
Johor,2020-01-01,both,25-29,overall,362.6,Working age (15-64)
Johor,2020-01-01,both,25-29,bumi_malay,173.8,Working age (15-64)
Johor,2020-01-01,both,25-29,bumi_other,3.4,Working age (15-64)
Johor,2020-01-01,both,25-29,chinese,96.3,Working age (15-64)
Johor,2020-01-01,both,25-29,indian,19.6,Working age (15-64)
Johor,2020-01-01,both,25-29,other_citizen,1.1,Working age (15-64)
Johor,2020-01-01,both,25-29,other_noncitizen,68.4,Working age (15-64)
Johor,2020-01-01,both,30-34,overall,338.1,Working age (15-64)
Johor,2020-01-01,both,30-34,bumi_malay,176.2,Working age (15-64)
Johor,2020-01-01,both,30-34,bumi_other,5.4,Working age (15-64)
Johor,2020-01-01,both,30-34,chinese,91.4,Working age (15-64)
Johor,2020-01-01,both,30-34,indian,17.7,Working age (15-64)
Johor,2020-01-01,both,30-34,other_citizen,0.9,Working age (15-64)
