state,district,population,male,female,male_pct,female_pct,young_0_14,working_15_64,elderly_65_plus,young_pct,working_pct,elderly_pct,malay,other_bumiputera,chinese,indian,other_citizen,noncitizen,noncitizen_pct,source_url
Johor,Johor Bahru,1711200,907300,803900,53.02,46.98,0,0,0,0.0,0.0,0.0,794400,32400,606300,145000,10000,123200,7.2,https://storage.dosm.gov.my/population/population_district.csv
Johor,Batu Pahat,495300,261600,233700,52.82,47.18,0,0,0,0.0,0.0,0.0,311300,5100,140100,6900,1800,30200,6.1,https://storage.dosm.gov.my/population/population_district.csv
Johor,Kulai,329500,177700,151800,53.93,46.07,0,0,0,0.0,0.0,0.0,151400,3900,95300,30200,1500,47200,14.32,https://storage.dosm.gov.my/population/population_district.csv
Johor,Kluang,323800,179300,144400,55.37,44.6,0,0,0,0.0,0.0,0.0,166600,4800,92300,24800,1400,33800,10.44,https://storage.dosm.gov.my/population/population_district.csv
Johor,Muar,314800,173300,141500,55.05,44.95,0,0,0,0.0,0.0,0.0,172700,1700,100400,5500,700,33800,10.74,https://storage.dosm.gov.my/population/population_district.csv
Johor,Kota Tinggi,222400,118400,104000,53.24,46.76,0,0,0,0.0,0.0,0.0,180000,3600,18600,5500,800,13800,6.21,https://storage.dosm.gov.my/population/population_district.csv
Johor,Segamat,197800,103200,94600,52.17,47.83,0,0,0,0.0,0.0,0.0,103600,3100,63100,15700,600,11600,5.86,https://storage.dosm.gov.my/population/population_district.csv
Johor,Pontian,173300,93200,80100,53.78,46.22,0,0,0,0.0,0.0,0.0,113500,1800,42600,1400,700,13300,7.67,https://storage.dosm.gov.my/population/population_district.csv
Johor,Tangkak,163400,85200,78200,52.14,47.86,0,0,0,0.0,0.0,0.0,102100,1300,42800,8400,800,8100,4.96,https://storage.dosm.gov.my/population/population_district.csv
Johor,Mersing,78200,41900,36300,53.58,46.42,0,0,0,0.0,0.0,0.0,62900,3000,7100,900,200,4100,5.24,https://storage.dosm.gov.my/population/population_district.csv
Negeri Sembilan,Seremban,692300,358100,334200,51.73,48.27,0,0,0,0.0,0.0,0.0,377900,8300,154900,102500,3700,45000,6.5,https://storage.dosm.gov.my/population/population_district.csv
Negeri Sembilan,Port Dickson,128700,68300,60400,53.07,46.93,0,0,0,0.0,0.0,0.0,65400,2300,31200,22900,800,6100,4.74,https://storage.dosm.gov.my/population/population_district.csv
Negeri Sembilan,Jempol,127200,65800,61400,51.73,48.27,0,0,0,0.0,0.0,0.0,80600,4200,21100,15500,500,5400,4.25,https://storage.dosm.gov.my/population/population_district.csv
Negeri Sembilan,Tampin,88100,46800,41300,53.12,46.88,0,0,0,0.0,0.0,0.0,50100,2000,19300,11600,200,4800,5.45,https://storage.dosm.gov.my/population/population_district.csv
Negeri Sembilan,Kuala Pilah,70300,36000,34300,51.21,48.79,0,0,0,0.0,0.0,0.0,53800,1700,9200,3600,200,1800,2.56,https://storage.dosm.gov.my/population/population_district.csv
Negeri Sembilan,Rembau,47300,24000,23300,50.74,49.26,0,0,0,0.0,0.0,0.0,38300,1100,2300,3800,100,1800,3.81,https://storage.dosm.gov.my/population/population_district.csv
Negeri Sembilan,Jelebu,46100,25000,21000,54.23,45.55,0,0,0,0.0,0.0,0.0,27100,3600,10400,1800,200,2900,6.29,https://storage.dosm.gov.my/population/population_district.csv
