Koalisi,Parti,Nama,Platform,Handle_URL,Jenis,Full_URL
BN,UMNO,UMNO (Rasmi),Facebook,facebook.com/umno.org.my,Parti Rasmi,https://www.facebook.com/umno.org.my
BN,UMNO,UMNO (Rasmi),X / Twitter,x.com/umnoonline,Parti Rasmi,https://x.com/umnoonline
BN,UMNO,Ahmad Zahid Hamidi,Facebook,facebook.com/ahmadzahidofficial,Pemimpin,https://www.facebook.com/ahmadzahidofficial
BN,UMNO,Ahmad Zahid Hamidi,TikTok,@ahmadzahidhamidi,Pemimpin,https://www.tiktok.com/@ahmadzahidhamidi
BN,UMNO,Ahmad Zahid Hamidi,X / Twitter,x.com/DrZahidHamidi,Pemimpin,https://x.com/DrZahidHamidi
BN,UMNO,Ahmad Zahid Hamidi,Instagram,@ahmadzahidhamidi,Pemimpin,https://www.instagram.com/ahmadzahidhamidi/
BN,UMNO,Najib Razak,Facebook,facebook.com/NajibRazakOfficial,Pemimpin,https://www.facebook.com/NajibRazakOfficial
BN,UMNO,Najib Razak,TikTok,@najibrazak,Pemimpin,https://www.tiktok.com/@najibrazak
BN,UMNO,Najib Razak,X / Twitter,x.com/najibrazak,Pemimpin,https://x.com/najibrazak
BN,UMNO,Najib Razak,Instagram,@najibrazak,Pemimpin,https://www.instagram.com/najibrazak/
BN,UMNO,Isham Jalil,Facebook,facebook.com/ishamjalil,Pemimpin,https://www.facebook.com/ishamjalil
BN,UMNO,Isham Jalil,TikTok,@ishamjalil,Pemimpin,https://www.tiktok.com/@ishamjalil
BN,UMNO,Isham Jalil,Instagram,@ishamjalil,Pemimpin,https://www.instagram.com/ishamjalil/
BN,MCA,MCA (Rasmi),Facebook,facebook.com/mcamalaysia,Parti Rasmi,https://www.facebook.com/mcamalaysia
BN,MCA,MCA (Rasmi),X / Twitter,x.com/mcamalaysia,Parti Rasmi,https://x.com/mcamalaysia
BN,MIC,MIC (Rasmi),Facebook,facebook.com/micmalaysia,Parti Rasmi,https://www.facebook.com/micmalaysia
BN,MIC,MIC (Rasmi),X / Twitter,x.com/micmalaysia,Parti Rasmi,https://x.com/micmalaysia
