Koalisi,Parti,Nama,Jawatan,Platform,Handle,Full_URL,Nota
BN,UMNO,UMNO (Rasmi),Parti Rasmi,Facebook,facebook.com/umno.org.my,https://www.facebook.com/umno.org.my,umno.org.my
BN,UMNO,UMNO (Rasmi),Parti Rasmi,X,x.com/umnoonline,https://x.com/umnoonline,umno.org.my
BN,UMNO,Ahmad Zahid Hamidi,Presiden UMNO / TPM,Facebook,facebook.com/ahmadzahidofficial,https://www.facebook.com/ahmadzahidofficial,
BN,UMNO,Ahmad Zahid Hamidi,Presiden UMNO / TPM,TikTok,@ahmadzahidhamidi,https://www.tiktok.com/@ahmadzahidhamidi,
BN,UMNO,Ahmad Zahid Hamidi,Presiden UMNO / TPM,X,x.com/DrZahidHamidi,https://x.com/DrZahidHamidi,
BN,UMNO,Ahmad Zahid Hamidi,Presiden UMNO / TPM,Instagram,@ahmadzahidhamidi,https://www.instagram.com/ahmadzahidhamidi/,
BN,UMNO,Najib Razak,Bekas PM | #1 Followers 9.35 juta,Facebook,facebook.com/NajibRazakOfficial,https://www.facebook.com/NajibRazakOfficial,FB: ~4.6M | X: 3.2M
BN,UMNO,Najib Razak,Bekas PM | #1 Followers 9.35 juta,TikTok,@najibrazak,https://www.tiktok.com/@najibrazak,FB: ~4.6M | X: 3.2M
BN,UMNO,Najib Razak,Bekas PM | #1 Followers 9.35 juta,X,x.com/najibrazak,https://x.com/najibrazak,FB: ~4.6M | X: 3.2M
BN,UMNO,Najib Razak,Bekas PM | #1 Followers 9.35 juta,Instagram,@najibrazak,https://www.instagram.com/najibrazak/,FB: ~4.6M | X: 3.2M
BN,UMNO,Isham Jalil,Influencer Pro-PN / Bekas UMNO,Facebook,facebook.com/ishamjalil,https://www.facebook.com/ishamjalil,Interaksi TikTok #1 (36%)
BN,UMNO,Isham Jalil,Influencer Pro-PN / Bekas UMNO,TikTok,@ishamjalil,https://www.tiktok.com/@ishamjalil,Interaksi TikTok #1 (36%)
BN,UMNO,Isham Jalil,Influencer Pro-PN / Bekas UMNO,Instagram,@ishamjalil,https://www.instagram.com/ishamjalil/,Interaksi TikTok #1 (36%)
BN,MCA,MCA (Rasmi),Parti Rasmi,Facebook,facebook.com/mcamalaysia,https://www.facebook.com/mcamalaysia,
BN,MCA,MCA (Rasmi),Parti Rasmi,X,x.com/mcamalaysia,https://x.com/mcamalaysia,
BN,MIC,MIC (Rasmi),Parti Rasmi,Facebook,facebook.com/micmalaysia,https://www.facebook.com/micmalaysia,
BN,MIC,MIC (Rasmi),Parti Rasmi,X,x.com/micmalaysia,https://x.com/micmalaysia,
PH,PKR,PKR (Rasmi),Parti Rasmi,Facebook,facebook.com/KeadilanRakyat,https://www.facebook.com/KeadilanRakyat,keadilanrakyat.org
PH,PKR,Anwar Ibrahim,PM Malaysia / Presiden PKR | #3 — 7.9 juta,Facebook,facebook.com/anwaribrahimofficial,https://www.facebook.com/anwaribrahimofficial,FB: 3.1M | TikTok: 1.2M
PH,PKR,Anwar Ibrahim,PM Malaysia / Presiden PKR | #3 — 7.9 juta,TikTok,@anwaribrahimofficial,https://www.tiktok.com/@anwaribrahimofficial,FB: 3.1M | TikTok: 1.2M
PH,PKR,Anwar Ibrahim,PM Malaysia / Presiden PKR | #3 — 7.9 juta,X,x.com/anwaribrahim,https://x.com/anwaribrahim,FB: 3.1M | TikTok: 1.2M
PH,PKR,Anwar Ibrahim,PM Malaysia / Presiden PKR | #3 — 7.9 juta,Instagram,@anwaribrahimofficial,https://www.instagram.com/anwaribrahimofficial/,FB: 3.1M | TikTok: 1.2M
PH,PKR,Rafizi Ramli,Mantan Menteri Ekonomi / PKR,Facebook,facebook.com/rafiziramli.keadilan,https://www.facebook.com/rafiziramli.keadilan,TikTok: 153K | IG: 181K
PH,PKR,Rafizi Ramli,Mantan Menteri Ekonomi / PKR,TikTok,@rafiziramli,https://www.tiktok.com/@rafiziramli,TikTok: 153K | IG: 181K
PH,PKR,Rafizi Ramli,Mantan Menteri Ekonomi / PKR,X,x.com/rafiziramli,https://x.com/rafiziramli,TikTok: 153K | IG: 181K
PH,PKR,Rafizi Ramli,Mantan Menteri Ekonomi / PKR,Instagram,@rafiziramli,https://www.instagram.com/rafiziramli/,TikTok: 153K | IG: 181K
PH,DAP,DAP (Rasmi),Parti Rasmi,Facebook,facebook.com/dapmalaysia,https://www.facebook.com/dapmalaysia,dapmalaysia.org
PH,DAP,DAP (Rasmi),Parti Rasmi,X,x.com/dapmalaysia,https://x.com/dapmalaysia,dapmalaysia.org
PH,DAP,DAP (Rasmi),Parti Rasmi,Instagram,@dapmalaysia,https://www.instagram.com/dapmalaysia/,dapmalaysia.org
PH,DAP,Lim Guan Eng,Penasihat DAP / Bekas Ketua Menteri Penang,Facebook,facebook.com/limguaneng,https://www.facebook.com/limguaneng,limguaneng.com
PH,DAP,Lim Guan Eng,Penasihat DAP / Bekas Ketua Menteri Penang,TikTok,@limguaneng,https://www.tiktok.com/@limguaneng,limguaneng.com
PH,DAP,Lim Guan Eng,Penasihat DAP / Bekas Ketua Menteri Penang,X,x.com/guanenglim,https://x.com/guanenglim,limguaneng.com
PH,DAP,Gobind Singh Deo,Pengerusi DAP / Menteri Digital,Facebook,facebook.com/gobindsinghdeo,https://www.facebook.com/gobindsinghdeo,X: 176K
PH,DAP,Gobind Singh Deo,Pengerusi DAP / Menteri Digital,X,x.com/GobindSinghDeo,https://x.com/GobindSinghDeo,X: 176K
PH,DAP,Anthony Loke,Setiausaha Agung DAP,Facebook,facebook.com/anthonyloke,https://www.facebook.com/anthonyloke,"TikTok: 76K, interaksi 4.5%"
PH,DAP,Anthony Loke,Setiausaha Agung DAP,TikTok,@anthonyloke,https://www.tiktok.com/@anthonyloke,"TikTok: 76K, interaksi 4.5%"
