Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers,video_url,thumbnail_url,media_type,sentiment_label,sentiment_confidence,detected_language,demographic,author_demographic,author_demo_confidence,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
facebook,post,10164611887994592,"Tahukah anda Dato' Dr Rafie Abd Malek ini pernah bertanding di Ampangan sebagai calon Bebas dan mendapat 3K undi ""base"" berdasarkan sokongan terhadap beliau sendiri.

Nah kali ni di N14 Ampangan PRN N9 calon Perikatan Nasional ini bukan sahaja didukung PN tetapi ketumbukan sokongan Barisan Nasional juga.

Aku lihat beliau ini seorang yang cermat bila berkata kata, lemah lembut dan tidak marah marah. 

Semalam Dato' Alwi UMNO berceramah, beliau sebut jadi pemimpin apatah lagi kerajaan tak boleh marah marah. 

Ya lah daripada Tunku Abdul Rahman Putra Al Haj, Tun Abdul Razak, Tun Hussein Onn, Tun Dr Mahathir Mohamed, Pak Lah, Najib Razak, TSMY dan Ismail Sabri semua kualiti pemimpin Malaysia adalah bersifat bijaksana, cool dan tenang sahaja. 

Melihat sosok calon Perikatan Nasional Dato' Dr Rafie Abdul Malek pon gaya pidato nya tersusun, tenang dan mudah.

Pagi ni beliau berkempen turun ke pasar bersama YB Ustaz Ahmad Fadhli Shaari Ketua Penerangan PAS Pusat! 

Terus sokong guys kita nak membina sebuah legasi kepimpinan yang peduli rakyat, tenang hadapi badai dan bukan jenis marah marah tak tentu hala! 

Orang tenang selalu menang!

Nismilan Kito Jago 

Tenang & Sod Ba Ro 
Bro SK
20 Julai 2026",https://www.facebook.com/suffi.kamari/posts/pfbid031JqjpdegUyY32CZW3ZYg2tg4NUhzVkkCquyRemccxqq6qYAVC1EW84cSFbv6TLSul,,,neutral,2026-07-20 02:19:09+00:00,0,0,47,0,0.0,47,141.0,,,,,,,,,,,,,,,,,,
facebook,post,27478602228473702,PRU Dewan Negeri P128 Seremban (N14-Ampangan) Sekitar hari penamaan calon... 3 penjuru ( PH vs PN vs Bersatu ) Team Lesen Bertugas untuk N14 Ampangan,https://www.facebook.com/mlotffee.abdullah/posts/pfbid02cofrVKB1heJu2WK5sCapFHuJQX43gqLkj6bYLtvizgnq4TocDPnoNaTW77kK6V5gl,,,neutral,2026-07-18 14:30:40+00:00,0,0,16,0,0.0,16,48.0,,,,,,,,,,,,,,,,,,
facebook,post,1621884546608854,"Terasa sangat aura kemenangan, luar biasa sambutan orang Melayu Negeri Sembilan kepada calon Perikatan Nasional Dun Ampangan, Dato Dr Rafie Malik.BN dan PN sepakat untuk menolak DAP dan PH pada PRN kali ini.

Petang hari ini saya turun membantu kempen PN di Negeri Sembilan, bersama calon dan jentera N14 Ampangan di dalam program santuni pengunjung Pasar Malam Ampangan.

InsyaAllah hari berikutnya akan membantu kempen PN di Dun Serting dan Dun Klawang sehingga hujung minggu ini.

Penyatuan ummah pada kali ini merupakan ‘turning point’ kearah penyatuan yang lebih besar pada masa akan datang, jajaran baharu ini akan membuahkan hasil negara yang lebih stabil dengan mengangkat kuasa politik Melayu Islam yang menjadi teras negara ini.",https://www.facebook.com/ustaznurulamin/posts/pfbid0t9JDihnPUACkmWfG21fKqinNXEa6jyQ6kvXivzE6a5nLtSqjrhvnzQJDrD1PCUhVl,,,neutral,2026-07-21 12:28:44+00:00,0,0,12,0,0.0,12,36.0,,,,,,,,,,,,,,,,,,
facebook,post,1537603975077635,N14 Ampangan Saksikan Calon Wanita Bersatu Berdepan PH dan PN #malaysiagazette #PRNNegeriSembilan #PakatanHarapan #PH #N9memilih #PRNNegeriSembilan2026 #UndiN9,https://www.facebook.com/MalaysiaGazette/posts/pfbid0AQYd38guPaeiVYWsGsnwHvipt7TAjtUvdQd9HXF2H9qVVDHqMpoAUtNf3o4LNzsrl,,,neutral,2026-07-18 04:17:56+00:00,0,0,11,0,0.0,11,33.0,,,,,,,,,,,,,,,,,,
facebook,post,1429422319010355,"Lensa Hari Penamaan Calon N14 Ampangan

#DatoDrRafieMalek
#NismilanKitoJago
#BinoSemuloAmpangan",https://www.facebook.com/drrafiemalek/posts/pfbid02Y4a4e2dpye1Nt4MPfVkor4HocMvJrg6PgA178xTrQB6JHnwCRKRpnjBGztVUChzFl,,,neutral,2026-07-19 23:46:35+00:00,0,0,6,0,0.0,6,18.0,,,,,,,,,,,,,,,,,,
facebook,post,1474957974647517,"Antara calon yang bertanding bagi Dewan Undangan Negeri (DUN) N.14 Ampangan

#negerifm 
#ingatsampaibilabila 
#doghehundi",https://www.facebook.com/permalink.php?story_fbid=pfbid02B2FsBRE9NjwiqgFfGr66Agw9yCMmaeeUhrGieYcyogEaDPYzVeW42Quny4EwJMvhl&id=100063999856153,,,neutral,2026-07-21 04:07:28+00:00,0,0,175,0,0.0,175,525.0,,,,,,,,,,,,,,,,,,
facebook,post,1343149907973653,"Betul ke ni? 

Patut la bagi peluang bertanding Dun Ampangan sampai menidakan ketua cabang yang menang pemilihan sebagai Calon Pakatan Harapan 

Ermmm.....",https://www.facebook.com/SuaraRakyatDunParoi/posts/pfbid0bLvcLW3AZKw2KDbioDa3ajTaXs3NEtbu73NeqEv8dd6M1Y1w3uv9kiucbjRzdDEel,,,neutral,2026-07-20 11:57:15+00:00,0,0,69,0,0.0,69,207.0,,,,,,,,,,,,,,,,,,
facebook,post,1328357276126480,W A L K 🚶 A B O U T @ Calon 03 (N.14),https://www.facebook.com/permalink.php?story_fbid=pfbid0cXHoyNW5iUoKybPoqbz28NkjLEq7fUYPBpxjxVpHptjBVPK18oSkUfpLsqYSsryyl&id=100068566598648,,,neutral,2026-07-21 23:49:20+00:00,0,0,4,0,0.0,4,12.0,,,,,,,,,,,,,,,,,,
facebook,post,122106475275391333,"Suasana Sekitar Majlis Penamaan Calon.

Bermacam-macam emosi yang sedang saya rasai ketika ini.

Apa pun yang mendatang, saya mohon doa daripada semua agar saya terus diberi kekuatan, ketenangan dan istiqamah untuk terus Kekal Harapan di Ampangan.",https://www.facebook.com/toknazn9/posts/pfbid0e7gWPbNKH9MFs3c5YVbN4VCjBjzdaxN5CyqatmYiP7Gjw3sx7Y8pABtbY4Emjgxkl,,,neutral,2026-07-18 01:29:08+00:00,0,0,86,0,0.0,86,258.0,,,,,,,,,,,,,,,,,,
facebook,post,1430468978905689,"SEDANGKAN LIDAH LAGI TERGIGIT, INIKAN PULA HIDUP BERMASYARAKAT

Berbeza parti bukan alasan untuk bermusuhan atau menjauhkan diri.

Hidup sebagai jiran dan masyarakat, kita tetap perlu saling menghormati antara satu sama lain.

Bahkan memelihara hubungan yang baik sesama manusia merupakan tuntutan dalam agama.

Moga inilah semangat yang akan terus subur dalam kalangan warga Ampangan.

Mari kita kekal bersatu, hidup harmoni dan berkasih sayang tanpa ada halangan dan sengketa.

#DatoDrRafieMalek
#NismilanKitoJago
#BinoSemulaAmpangan",https://www.facebook.com/reel/1771194087637162/,,,neutral,2026-07-21 08:38:57+00:00,0,0,45,0,0.0,45,135.0,,,,,,,,,,,,,,,,,,
