Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
instagram,post,grabmalaysiabuathal,,neutral,2026-02-07T16:55:48.275959,0,0,0,0,0.0,0
instagram,post,grabmalaysiatoandfromskylinelugeride,,neutral,2026-02-07T16:55:48.276025,0,0,0,0,0.0,0
instagram,post,grabmalaysiakeindonesia,,neutral,2026-02-07T16:55:48.276226,0,0,0,0,0.0,0
instagram,post,grabmalaysiacar,,neutral,2026-02-07T16:55:48.276238,0,0,0,0,0.0,0
instagram,post,grabmalaysiasportsday,,neutral,2026-02-07T16:55:48.276245,0,0,0,0,0.0,0
instagram,post,grabmalaysia🇲🇾,,neutral,2026-02-07T16:55:48.276252,0,0,0,0,0.0,0
instagram,post,grabmalaysiadrivers,,neutral,2026-02-07T16:55:48.276259,0,0,0,0,0.0,0
instagram,post,grabmalaysia💪🏻😇,,neutral,2026-02-07T16:55:48.276268,0,0,0,0,0.0,0
instagram,post,grabmalaysiaalfamart,,neutral,2026-02-07T16:55:48.276274,0,0,0,0,0.0,0
instagram,post,grabmalaysiapromo,,neutral,2026-02-07T16:55:48.276281,0,0,0,0,0.0,0
instagram,post,grabmalaysia,,neutral,2026-02-07T16:55:48.276287,0,0,0,0,0.0,0
