Platform,Type,ID,Text,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement
Instagram,Video,INSTAGRAM001,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-04,302,81,18,3173,0.26,401
Instagram,Story,INSTAGRAM002,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-11,95,24,6,1364,0.1,125
Instagram,Photo,INSTAGRAM003,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-29,464,69,77,4202,0.11,610
Instagram,Photo,INSTAGRAM004,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-01,377,66,69,2306,0.12,512
Instagram,Photo,INSTAGRAM005,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-12,386,75,31,4162,0.1,492
Instagram,Story,INSTAGRAM006,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-01,442,93,67,4605,0.28,602
Instagram,Story,INSTAGRAM007,Great experience with minyak mahal! Highly recommended in Malaysia.,Neutral,2026-04-15,472,51,52,4619,0.55,575
Instagram,IGTV,INSTAGRAM008,Just tried minyak mahal - amazing quality and value!,Neutral,2026-03-29,262,61,14,2218,0.43,337
Instagram,Video,INSTAGRAM009,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-06,332,72,51,3141,0.4,455
Instagram,Photo,INSTAGRAM010,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-13,146,36,17,1630,0.3,199
Instagram,Story,INSTAGRAM011,minyak mahal in Malaysia is really good. Worth trying!,Neutral,2026-04-18,168,40,33,1127,0.41,241
Instagram,Reel,INSTAGRAM012,Just tried minyak mahal - amazing quality and value!,Neutral,2026-03-24,187,44,22,1864,0.5,253
Instagram,Photo,INSTAGRAM013,Just tried minyak mahal - amazing quality and value!,Negative,2026-03-31,154,17,29,1457,0.29,200
Instagram,Story,INSTAGRAM014,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-28,302,47,59,3593,0.12,408
Instagram,Reel,INSTAGRAM015,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-27,295,82,20,3361,0.14,397
Instagram,IGTV,INSTAGRAM016,Just tried minyak mahal - amazing quality and value!,Negative,2026-03-26,124,28,19,1029,0.31,171
Instagram,Photo,INSTAGRAM017,Great experience with minyak mahal! Highly recommended in Malaysia.,Neutral,2026-04-21,152,22,23,806,0.53,197
Instagram,Video,INSTAGRAM018,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-16,217,52,12,1484,0.18,281
Instagram,Reel,INSTAGRAM019,Just tried minyak mahal - amazing quality and value!,Neutral,2026-04-12,235,66,20,1889,0.46,321
Instagram,Video,INSTAGRAM020,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-10,488,93,61,2946,0.1,642
Instagram,Story,INSTAGRAM021,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-31,412,84,79,4746,0.21,575
Instagram,Reel,INSTAGRAM022,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-06,428,55,47,2588,0.14,530
Instagram,IGTV,INSTAGRAM023,minyak mahal in Malaysia is really good. Worth trying!,Neutral,2026-04-03,300,56,51,2862,0.47,407
Instagram,Video,INSTAGRAM024,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-18,348,78,30,3845,0.1,456
Instagram,Story,INSTAGRAM025,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-14,118,31,19,1672,0.25,168
Instagram,Video,INSTAGRAM026,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-19,272,47,49,2639,0.21,368
Instagram,IGTV,INSTAGRAM027,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-31,133,15,7,721,0.1,155
Instagram,IGTV,INSTAGRAM028,Just tried minyak mahal - amazing quality and value!,Neutral,2026-04-11,150,43,9,2214,0.56,202
Instagram,Story,INSTAGRAM029,Just tried minyak mahal - amazing quality and value!,Neutral,2026-04-12,158,28,12,983,0.47,198
Instagram,Story,INSTAGRAM030,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-19,104,15,5,734,0.29,124
Instagram,Video,INSTAGRAM031,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-04-02,281,51,16,2448,0.1,348
Instagram,Video,INSTAGRAM032,Just tried minyak mahal - amazing quality and value!,Negative,2026-03-30,321,69,43,3892,0.25,433
Instagram,IGTV,INSTAGRAM033,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-17,328,68,25,3022,0.24,421
Instagram,IGTV,INSTAGRAM034,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-13,191,48,27,2047,0.1,266
Instagram,Story,INSTAGRAM035,Just tried minyak mahal - amazing quality and value!,Neutral,2026-04-12,163,18,20,1528,0.41,201
Instagram,Reel,INSTAGRAM036,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-09,525,126,41,5791,0.21,692
Instagram,Story,INSTAGRAM037,Just tried minyak mahal - amazing quality and value!,Neutral,2026-04-01,136,32,8,1723,0.49,176
Instagram,Reel,INSTAGRAM038,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-03-28,301,88,19,3506,0.1,408
Instagram,Story,INSTAGRAM039,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-19,230,57,17,2839,0.1,304
Instagram,Video,INSTAGRAM040,Just tried minyak mahal - amazing quality and value!,Neutral,2026-03-26,152,30,16,1673,0.41,198
Instagram,Photo,INSTAGRAM041,Just tried minyak mahal - amazing quality and value!,Negative,2026-03-28,145,38,19,994,0.1,202
Instagram,Video,INSTAGRAM042,Great experience with minyak mahal! Highly recommended in Malaysia.,Neutral,2026-03-22,332,42,51,3511,0.59,425
Instagram,Reel,INSTAGRAM043,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-19,356,86,51,4709,0.23,493
Instagram,Photo,INSTAGRAM044,Great experience with minyak mahal! Highly recommended in Malaysia.,Neutral,2026-04-08,193,22,9,1389,0.58,224
Instagram,Video,INSTAGRAM045,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-24,415,104,31,3259,0.1,550
Instagram,Reel,INSTAGRAM046,Great experience with minyak mahal! Highly recommended in Malaysia.,Neutral,2026-04-17,262,62,36,2009,0.5,360
Instagram,IGTV,INSTAGRAM047,Just tried minyak mahal - amazing quality and value!,Negative,2026-04-07,428,71,73,5273,0.13,572
Instagram,Video,INSTAGRAM048,minyak mahal in Malaysia is really good. Worth trying!,Negative,2026-03-31,93,22,8,795,0.1,123
Instagram,Photo,INSTAGRAM049,Just tried minyak mahal - amazing quality and value!,Neutral,2026-04-19,314,41,19,3567,0.45,374
Instagram,Video,INSTAGRAM050,Great experience with minyak mahal! Highly recommended in Malaysia.,Negative,2026-04-20,399,89,54,3207,0.36,542
